time,coin,dir,px,sz,ntl,fee,closedPnl
14/08/2025 - 16:36:05,BTC,Close Long,119068,0.0001,11.9068,0.005143,0.103857
14/08/2025 - 16:52:10,BTC,Open Long,119098,0.0001,11.9098,0.005144,-0.005144
14/08/2025 - 18:53:05,BTC,Close Long,118035,0.0001,11.803500000000001,0.005098,-0.11139800000000001
14/08/2025 - 18:54:09,BTC,Open Long,118036,0.0001,11.803600000000001,0.005098,-0.005098
14/08/2025 - 20:55:04,BTC,Close Long,118168,0.0001,11.8168,0.005104,0.008095999999999999
18/08/2025 - 07:41:10,BTC,Open Long,115148,0.0001,11.514800000000001,0.004973,-0.004973
18/08/2025 - 09:42:04,BTC,Close Long,115406,0.0001,11.540600000000001,0.004985,0.020815
21/08/2025 - 13:46:10,BTC,Open Long,113177,0.0001,11.3177,0.004888,-0.004888
21/08/2025 - 15:47:04,BTC,Close Long,113127,0.0001,11.312700000000001,0.004886,-0.009885999999999999
21/08/2025 - 16:41:10,BTC,Open Long,113021,0.0001,11.302100000000001,0.004881,-0.004881
21/08/2025 - 18:42:04,BTC,Close Long,112683,0.0001,11.2683,0.004867,-0.03866699999999999
27/08/2025 - 02:11:10,BTC,Open Long,111809,0.0001,11.180900000000001,0.004829,-0.004829
27/08/2025 - 04:12:04,BTC,Close Long,111233,0.0001,11.1233,0.004804,-0.062404
27/08/2025 - 22:22:12,BTC,Open Long,111345,0.0001,11.134500000000001,0.004809,-0.004809
27/08/2025 - 23:15:20,BTC,Close Long,112147,0.0001,11.2147,0.001614,0.07858599999999999
29/08/2025 - 09:16:10,BTC,Open Long,110610,0.0001,11.061,0.004777,-0.004777
29/08/2025 - 11:17:04,BTC,Close Long,109660,0.0001,10.966000000000001,0.004736,-0.099736
31/08/2025 - 02:31:10,BTC,Open Long,108922,0.0001,10.8922,0.004704,-0.004704
31/08/2025 - 04:32:04,BTC,Close Long,109280,0.0001,10.928,0.00472,0.031079999999999997
31/08/2025 - 07:44:10,BTC,Open Long,108746,0.0001,10.874600000000001,0.004697,-0.004697
31/08/2025 - 09:45:04,BTC,Close Long,108755,0.0001,10.8755,0.004697,-0.003797
31/08/2025 - 11:31:10,BTC,Open Long,108913,0.0001,10.891300000000001,0.004704,-0.004704
31/08/2025 - 13:32:04,BTC,Close Long,108533,0.0001,10.8533,0.004687,-0.042687
31/08/2025 - 13:33:10,BTC,Open Long,108534,0.0001,10.8534,0.004688,-0.004688
31/08/2025 - 15:34:05,BTC,Close Long,108305,0.0001,10.8305,0.004678,-0.027578
31/08/2025 - 15:38:11,BTC,Open Long,108257,0.0001,10.825700000000001,0.004676,-0.004676
31/08/2025 - 17:02:35,BTC,Close Long,108574,0.0001,10.8574,0.004689,0.027011
02/09/2025 - 14:45:10,BTC,Open Long,108626,0.0001,10.8626,0.004692,-0.004692
02/09/2025 - 16:46:04,BTC,Close Long,111509,0.0001,11.1509,0.004816,0.283484
03/09/2025 - 08:06:10,BTC,Open Long,110554,0.0001,11.0554,0.004775,-0.004775
03/09/2025 - 10:07:04,BTC,Close Long,111177,0.0001,11.117700000000001,0.004801,0.057499
04/09/2025 - 08:23:10,BTC,Open Long,110407,0.0001,11.040700000000001,0.004769,-0.004769
04/09/2025 - 10:24:04,BTC,Close Long,110638,0.0001,11.0638,0.004778,0.01832199999999999

